 习近平谈治国理政 第三卷（阿文版，平装） ,本书的出版发行，对帮助国外读者系统了解掌握*新时代中国特色社会主义思想的精神实质和丰富内涵，增进对中国共产党为什么能、马克思主义为什么行、中国特色社会主义为什么好的认识和理解，具有重要意义。,47.2,0,20
 习近平科学的思维方法在浙江的探索与实践 浙江人民出版社 9787213103902 ,,57.8,0,1
 习近平关于防范风险挑战、应对突发事件论述摘编 大字本 中央文献出版社 ,,38.5,0,0
 习近平谈治国理政 第一卷（俄文版精装） ,俄文略,112.8,0,0
 习近平第二届“一带一路”国际合作高峰论坛重要讲话（中英对照版） ,,24.2,0,0
 习近平的国家治理现代化思想：中国文明基体论的延续 ,,9.5,0,0
 习近平关于社会主义社会建设论述摘编（大字本） 中共中央文献研究室 编 党政书籍党建读物 中央文献出版社978750734 ,,26.5,0,0
 在会见第一届全国文明家庭代表时的讲话 ,"随着我国改革开放不断深入,随着我国经济社会发展不断推进,随着我国人民生活水平不断提高,城乡家庭的结构和生活方式发生了新变化。但是,无论时代如何变化,无论经济社会如何发展,对一个社会来说,家庭的生活依托都不可替代,家庭的社会功能都不可替代,家庭的文明作用都不可替代。无论过去、现在还是将来,绝大多数人都生活在家庭之中。我们要重视家庭文明建设,努力使千千万万个家庭成为国家发展、民族进步、社会和谐的重要基点,成为人们梦想启航的地方。",1.1,0,0
 【现货速发】习近平关于社会主义经济建设论述摘编（小字本）党建书籍党政读物 中央文献出版社9787507337341 正版直供 优质图书,,27.5,0,0
 习近平法治思想概论 马克思主义理论研究和建设工程重点教材 高等教育出版社 ,,38.0,100,249
 习近平谈治国理政 第一卷 （英文精装） ,,70.8,0,0
 论坚持推动构建人类命运共同体（俄文版精装） ,《论坚持推动构建人类命运共同体》俄文版的出版发行，有助于国外读者深入了解*关于 建设一个什么样的世界 如何建设这个世界 等关乎人类前途命运的重大课题的理论思考，了解构建人类命运共同体理念的时代背景、重大意义、主要内容、实现途径，对深刻理解*外交思想的丰富内涵和我国外交方针政策具有重要意义。,113.1,0,0
 习近平谈治国理政 第二卷 （德文平装） ,中共十八大以来，以*同志为核心的中共中央，团结带领全党全国各族人民，紧紧围绕实现 两个一百年 奋斗目标和中华民族伟大复兴的中国梦，坚持和发展中国特色社会主义，统筹推进 五位一体 总体布局、协调推进 四个全面 战略布局，迎难而上，开拓进取，取得了改革开放和社会主义现代化建设的历史性成就，解决了许多长期想解决而没有解决的难题，办成了许多过去想办而没有办成的大事，推动中国共产党和国家事业取得了历史性成就、发生了历史性变革，中国特色社会主义进入新时代。 在治国理政新的实践中，以*为主要代表的中国共产党人，顺应时代发展，从理论和实践结合上系统回答了新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义这个重大时代课题，创立了*新时代中国特色社会主义思想，为决胜全面建成小,47.2,0,0
 论坚持党对一切工作的领导 小字本 中央文献出版社 ,,36.0,0,0
 论坚持推动构建人类命运共同体（俄文版平装） ,《论坚持推动构建人类命运共同体》俄文版的出版发行，有助于国外读者深入了解*关于 建设一个什么样的世界 如何建设这个世界 等关乎人类前途命运的重大课题的理论思考，了解构建人类命运共同体理念的时代背景、重大意义、主要内容、实现途径，对深刻理解*外交思想的丰富内涵和我国外交方针政策具有重要意义。,78.3,0,0
 中国共产党第十九次全国代表大会报告摘编（葡萄牙文版） ,,50.5,0,0
" 新时代中华民族前进的根本方向 “中国特色社会主义为什么好”“新中国发展为什么快”,读完这本就能了解！",在中华人民共和国成立70 周年华诞之际，《奋进新时代丛书》（4种）呈现在广大读者面前。丛书试图写成一套兼顾学术性、理论性、通俗性，深入浅出回答 马克思主义为什么行 ， 中国共产党为什么能 ， 中国特色社会主义为什么好 ， 新中国发展为什么快 的通俗易懂的读物，既受学界欢迎，又为大众喜好，有助于读者深刻认识坚持中国共产党全面领导、坚持和发展中国特色社会主义的*重要性；有助于深刻认识坚持马克思主义在我国意识形态领域指导地位的*重要性；有助于深刻认识新中国成立以来的发展历史、历史方位和对世界历史发展的重要作用。,86.1,0,0
